Accuracy,Top-5 Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Weighted F1-Score,Weighted AUC Score,Weighted Mean Average Precision
0.4163726182074806,0.7868736767819337,0.054293877983551043,0.24091594224376556,0.07867632850241546,0.4163726182074806,0.29828774654448603,0.6618059239601035,0.3302529621308597
0.41778405081157377,0.8094565984474241,0.06077419917954089,0.2564420034803511,0.08298550724637681,0.41778405081157377,0.3106053556904035,0.6791350728105874,0.3501941562729865
0.43401552575864505,0.8052223006351447,0.08437854346529776,0.28469078170499235,0.08628838123311226,0.43401552575864505,0.31275245995064826,0.6898496441264715,0.35799816217908675
0.4015525758645025,0.7960479887085392,0.07782016096104379,0.2885790343390426,0.10369696969696969,0.4015525758645025,0.32527295610670226,0.6741246828265726,0.3466352230732736
0.4326040931545519,0.8108680310515173,0.08324574177410665,0.2692866885325048,0.08455950812472551,0.4326040931545519,0.31085530066730316,0.7114873643940126,0.3738493186800771
0.4347212420606916,0.8073394495412844,0.06621993909005185,0.27471293062746127,0.09819323671497585,0.4347212420606916,0.3165834657002781,0.7093444338209492,0.3641671326365592
0.4297812279463656,0.8115737473535639,0.08072258275695443,0.2720829183298973,0.0852022502457285,0.4297812279463656,0.3166345855582085,0.7049526580573442,0.36117807064999247
0.4234297812279464,0.8129851799576571,0.07095644316883255,0.2666884712837461,0.08075820846638827,0.4234297812279464,0.304879833962158,0.6960171254536052,0.3584448511962323
0.44318983768525055,0.817925194071983,0.06814041945109907,0.26498512398797425,0.08425603864734299,0.44318983768525055,0.31343593127213654,0.7111732389581228,0.3707581707436787
0.4410726887791108,0.8094565984474241,0.1209795875739904,0.3089617471921684,0.09553291769504,0.4410726887791108,0.31979090599459575,0.7194078920645626,0.37742781676487863
0.4361326746647848,0.8172194777699365,0.1964693201503401,0.3676121016400736,0.13240098390651078,0.4361326746647848,0.37948824223778543,0.7239628702187216,0.38508874121827946
0.43048694424841216,0.8193366266760762,0.1619046429773735,0.3487923495610624,0.1221139453630242,0.43048694424841216,0.36678497074774985,0.7239454154846553,0.38104979507930614
0.44036697247706424,0.8249823570924488,0.1811019834251405,0.33348249233064037,0.10544936964833793,0.44036697247706424,0.34707823370559704,0.7288892124306433,0.3864593317050965
0.44742413549753,0.8278052223006351,0.12139017785134355,0.3185587449539311,0.11226659974486061,0.44742413549753,0.3463626862252129,0.7214700090035138,0.37802316524140234
0.44389555398729713,0.8228652081863091,0.21795363805549037,0.3782345605259922,0.11606585736652059,0.44389555398729713,0.36307196916052487,0.7168107893704517,0.37567376497918226
0.4269583627381793,0.8158080451658434,0.1550905279609698,0.35911949555709954,0.13296289632472388,0.4269583627381793,0.37731850736107475,0.7150601667795767,0.3711068797456301
0.4481298517995766,0.8256880733944955,0.15596915824278254,0.3431516423804267,0.11380558754545489,0.4481298517995766,0.35067897426587324,0.7172456612572707,0.38138383919527513
0.43330980945659847,0.8200423429781228,0.16293773480571866,0.36390463651875604,0.13390349294254966,0.43330980945659847,0.38539985329535764,0.7282655460413124,0.38312654411964736
